listing_key,ticker,exchange,asset_type,name,gap_class,current_instrument_scope,current_scope_reason,source_of_truth_outcome,residual_decision,masterfile_source_presence,b3_resolution_queue,listing_history_status,listing_history_last_observed_at,ohlcv_plausibility_status,ohlcv_review_bucket,scope_review_queue,scope_decision_gate,recommended_scope_action,verification_evidence_required,recommended_next_source,source_gate,review_context
B3::AFOF11,AFOF11,B3,ETF,Alianza Fofii Fundo De Investimento Imobiliario,fund_or_trust_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_fund_or_receipt_source_gap,active,2026-05-16T17:22:52Z,,,b3_fund_or_trust_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_category_work,review_product_currentness_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_b3_fund_product_or_issuer_registry_evidence_plus_core_extended_or_exclude_scope_decision,"Current B3 fund/ETF/FII source, fund administrator page, issuer/sponsor page, CVM fund registry, or prospectus.","No ISIN, category, name, or scope change until the exact product is proven current or excluded by official evidence.",gap_class=fund_or_trust_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_fund_or_receipt_source_gap;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_category_work
B3::AGCX11,AGCX11,B3,ETF,FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,fund_or_trust_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_fund_or_receipt_source_gap,active,2026-05-16T17:22:52Z,,,b3_fund_or_trust_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_category_work,review_product_currentness_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_b3_fund_product_or_issuer_registry_evidence_plus_core_extended_or_exclude_scope_decision,"Current B3 fund/ETF/FII source, fund administrator page, issuer/sponsor page, CVM fund registry, or prospectus.","No ISIN, category, name, or scope change until the exact product is proven current or excluded by official evidence.",gap_class=fund_or_trust_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_fund_or_receipt_source_gap;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_category_work
B3::AQLL11,AQLL11,B3,ETF,ÁQUILLA FDO INV IMOB - FII,fund_or_trust_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_fund_or_receipt_source_gap,active,2026-05-16T17:22:52Z,,,b3_fund_or_trust_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_category_work,review_product_currentness_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_b3_fund_product_or_issuer_registry_evidence_plus_core_extended_or_exclude_scope_decision,"Current B3 fund/ETF/FII source, fund administrator page, issuer/sponsor page, CVM fund registry, or prospectus.","No ISIN, category, name, or scope change until the exact product is proven current or excluded by official evidence.",gap_class=fund_or_trust_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_fund_or_receipt_source_gap;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_category_work
B3::CPTS11B,CPTS11B,B3,ETF,Capitania Securities II Fundo Investimento Imobiliario FII,fund_or_trust_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_fund_or_receipt_source_gap,active,2026-05-16T17:22:52Z,,,b3_fund_or_trust_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_category_work,review_product_currentness_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_b3_fund_product_or_issuer_registry_evidence_plus_core_extended_or_exclude_scope_decision,"Current B3 fund/ETF/FII source, fund administrator page, issuer/sponsor page, CVM fund registry, or prospectus.","No ISIN, category, name, or scope change until the exact product is proven current or excluded by official evidence.",gap_class=fund_or_trust_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_fund_or_receipt_source_gap;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_category_work
B3::MBRF11,MBRF11,B3,ETF,Fundo De Investimento Imobiliário Mercantil Do Brasil-fii -Inicio,fund_or_trust_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_fund_or_receipt_source_gap,active,2026-05-16T17:22:52Z,,,b3_fund_or_trust_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_category_work,review_product_currentness_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_b3_fund_product_or_issuer_registry_evidence_plus_core_extended_or_exclude_scope_decision,"Current B3 fund/ETF/FII source, fund administrator page, issuer/sponsor page, CVM fund registry, or prospectus.","No ISIN, category, name, or scope change until the exact product is proven current or excluded by official evidence.",gap_class=fund_or_trust_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_fund_or_receipt_source_gap;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_category_work
B3::NLFA11,NLFA11,B3,ETF,Nu Letras Financeiras Anbima Classe De Índice - Responsabilidade Limitada,fund_or_trust_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,present_only_in_non_exchange_directory_source,official_subset_category_already_reflected_scope_review,active,2026-05-16T17:22:52Z,,,b3_fund_or_trust_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_category_work,review_product_currentness_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_b3_fund_product_or_issuer_registry_evidence_plus_core_extended_or_exclude_scope_decision,"Current B3 fund/ETF/FII source, fund administrator page, issuer/sponsor page, CVM fund registry, or prospectus.","No ISIN, category, name, or scope change until the exact product is proven current or excluded by official evidence.",gap_class=fund_or_trust_identifier_gap;masterfile_source_presence=present_only_in_non_exchange_directory_source;b3_resolution_queue=official_subset_category_already_reflected_scope_review;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_category_work
B3::OULG11B,OULG11B,B3,ETF,Pedra Dourada Fundo De Investimento Imobiliário - FII,fund_or_trust_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_fund_or_receipt_source_gap,active,2026-05-16T17:22:52Z,,,b3_fund_or_trust_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_category_work,review_product_currentness_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_b3_fund_product_or_issuer_registry_evidence_plus_core_extended_or_exclude_scope_decision,"Current B3 fund/ETF/FII source, fund administrator page, issuer/sponsor page, CVM fund registry, or prospectus.","No ISIN, category, name, or scope change until the exact product is proven current or excluded by official evidence.",gap_class=fund_or_trust_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_fund_or_receipt_source_gap;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_category_work
B3::C3RP3,C3RP3,B3,Stock,COTRASA PARTICIPACOES S.A.,inactive_or_legacy_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_local_share_source_gap,active,2026-05-16T17:22:52Z,not_checked,not_checked_source_gap_cluster_sample,b3_inactive_or_legacy_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_listing_status_work,review_active_or_inactive_status_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_active_b3_directory_or_official_inactive_delisting_evidence_plus_scope_decision,"Current B3 exchange directory, B3 issuer page, CVM filing, issuer investor-relations page, or official delisting/inactive notice.","Do not delete, rename, extend, or exclude until current active or inactive status is proven by official evidence.",gap_class=inactive_or_legacy_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_local_share_source_gap;listing_history_status=active;ohlcv_plausibility_status=not_checked;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_listing_status_work
B3::ICBR3,ICBR3,B3,Stock,INTERCEMENT BRASIL S.A.,inactive_or_legacy_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_local_share_source_gap,active,2026-05-16T17:22:52Z,,,b3_inactive_or_legacy_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_listing_status_work,review_active_or_inactive_status_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_active_b3_directory_or_official_inactive_delisting_evidence_plus_scope_decision,"Current B3 exchange directory, B3 issuer page, CVM filing, issuer investor-relations page, or official delisting/inactive notice.","Do not delete, rename, extend, or exclude until current active or inactive status is proven by official evidence.",gap_class=inactive_or_legacy_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_local_share_source_gap;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_listing_status_work
B3::PASS5,PASS5,B3,Stock,COMPASS GAS E ENERGIA S.A.,inactive_or_legacy_identifier_gap,core,primary_listing_missing_isin,core_exclusion_candidate,core_exclusion_candidate_requires_scope_review,absent_from_all_b3_masterfile_sources,absent_from_all_b3_sources_local_share_source_gap,active,2026-05-16T17:22:52Z,,,b3_inactive_or_legacy_core_scope_review,decide_core_extended_or_exclude_before_identifier_or_listing_status_work,review_active_or_inactive_status_then_choose_core_extended_or_exclude_keep_identifier_blank_until_official_isin,current_active_b3_directory_or_official_inactive_delisting_evidence_plus_scope_decision,"Current B3 exchange directory, B3 issuer page, CVM filing, issuer investor-relations page, or official delisting/inactive notice.","Do not delete, rename, extend, or exclude until current active or inactive status is proven by official evidence.",gap_class=inactive_or_legacy_identifier_gap;masterfile_source_presence=absent_from_all_b3_masterfile_sources;b3_resolution_queue=absent_from_all_b3_sources_local_share_source_gap;listing_history_status=active;ohlcv_plausibility_status=none;scope_decision_gate=decide_core_extended_or_exclude_before_identifier_or_listing_status_work
