ticker,exchange,current_name,stockanalysis_name,stockanalysis_url,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,accepted_isin,accepted_stock_sector,decision
2724,TPEX,"Architectural Aesthetics Global Development CO.,LTD.","Architectural Aesthetics Global Development CO.,LTD.",https://stockanalysis.com/quote/tpex/2724/company/,KYG3704Y1017,Consumer Discretionary,Lodging,KYG3704Y1017,,accept
3664,TPEX,Array Inc,Array,https://stockanalysis.com/quote/tpex/3664/company/,KYG0550W1069,Technology,Communication Equipment,KYG0550W1069,,accept
4154,TPEX,"Raku Co., Ltd","Raku Co., Ltd",https://stockanalysis.com/quote/tpex/4154/company/,KYG527551082,Consumer Staples,Beverages - Non-Alcoholic,KYG527551082,,accept
4442,TPEX,J&B International Inc.,J&B International,https://stockanalysis.com/quote/tpex/4442/company/,KYG5001G1055,Consumer Discretionary,Textile Manufacturing,KYG5001G1055,,accept
4924,TPEX,HTM International Holding Ltd.,HTM International Holding,https://stockanalysis.com/quote/tpex/4924/company/,KYG4642A1067,Technology,Computer Hardware,KYG4642A1067,,accept
6617,TPEX,Gongwin Biopharm Holdings Co. Ltd.,Gongwin Biopharm Holdings,https://stockanalysis.com/quote/tpex/6617/company/,KYG409471060,Healthcare,Biotechnology,KYG409471060,,accept
6629,TPEX,Thai Kin Co. Ltd,Thai Kin,https://stockanalysis.com/quote/tpex/6629/company/,KYG877791072,Consumer Discretionary,"Furnishings, Fixtures & Appliances",KYG877791072,,accept
6741,TPEX,91App Inc,91APP,https://stockanalysis.com/quote/tpex/6741/company/,KYG6525T1022,Technology,Software - Infrastructure,KYG6525T1022,,accept
6976,TPEX,"Acepodia, Inc.",Acepodia,https://stockanalysis.com/quote/tpex/6976/company/,KYG0073G1091,Healthcare,Biotechnology,KYG0073G1091,,accept
8423,TPEX,"Polygreen Resources Co., Ltd.",Polygreen Resources,https://stockanalysis.com/quote/tpex/8423/company/,KYG715991074,Consumer Discretionary,Auto Parts,KYG715991074,,accept
8455,TPEX,"Daito Me Holdings Co., Ltd",Daito Me Holdings,https://stockanalysis.com/quote/tpex/8455/company/,KYG264101034,Technology,Computer Hardware,KYG264101034,,accept
LCG,HOSE,Licogi 16 JSC,Lizen JSC,https://stockanalysis.com/quote/hose/LCG/company/,,,Heavy Construction Other Than Building Construction Contractors,,Industrials,accept
